ORI,YEAR,MRD,CLR,State,County,Agency
OH01800,2019,1,0,Ohio,"Cuyahoga, OH",Cuyahoga County
WA00404,2017,1,1,Washington,"Chelan, WA",Wenatchee
TX17802,2015,17,13,Texas,"Nueces, TX",Corpus Christi
GA09700,2019,1,0,Georgia,"Madison, GA",Madison County
KY03701,2018,3,3,Kentucky,"Franklin, KY",Frankfort
OH00703,2016,1,0,Ohio,"Belmont, OH",Bridgeport
FL05500,2016,4,2,Florida,"St. Johns, FL",St. Johns County
TX12905,2012,1,1,Texas,"Kaufman, TX",Terrell
GA01400,2014,1,1,Georgia,"Brooks, GA",Brooks County
VA07700,2016,2,2,Virginia,"Pulaski, VA",Pulaski County
MO04601,2013,1,1,Missouri,"Howell, MO",Mountain View
IN347SP,2016,1,0,Indiana,"Lawrence, IN",State Police: Lawrence County
TX24900,2012,1,1,Texas,"Wise, TX",Wise County
CA05701,2018,2,1,California,"Yolo, CA",Davis
TX01100,2011,2,1,Texas,"Bastrop, TX",Bastrop County
MN00700,2016,1,1,Minnesota,"Blue Earth, MN",Blue Earth County
PA03802,2017,2,2,Pennsylvania,"Lebanon, PA",Lebanon
CA02708,2016,35,5,California,"Monterey, CA",Salinas
KYKSP09,2012,3,3,Kentucky,"Pike, KY",State Police Post 9
IL05701,2013,2,0,Illinois,"McLean, IL",Bloomington
TX17101,2011,1,0,Texas,"Moore, TX",Dumas
NC04601,2012,2,2,North Carolina,"Hertford, NC",Ahoskie
VA00300,2011,1,1,Virginia,"Alleghany, VA",Alleghany County
WA00800,2016,1,0,Washington,"Cowlitz, WA",Cowlitz County
SC01900,2012,1,1,South Carolina,"Edgefield, SC",Edgefield County
CO00700,2010,1,1,Colorado,"Boulder, CO",Boulder County
NJ01432,2011,1,1,New Jersey,"Morris, NJ",Randolph Township
WA01737,2018,4,2,Washington,"King, WA",Seatac
VA09500,2015,1,1,Virginia,"Westmoreland, VA",Westmoreland County
MA01403,2018,1,0,Massachusetts,"Worcester, MA",Auburn
TX08800,2014,2,1,Texas,"Goliad, TX",Goliad County
IA07800,2014,1,1,Iowa,"Pottawattamie, IA",Pottawattamie County
IL04908,2010,1,0,Illinois,"Lake, IL",Highwood
AR07000,2013,2,2,Arkansas,"Union, AR",Union County
TX07905,2012,0,1,Texas,"Fort Bend, TX",Sugar Land
TN01500,2017,0,1,Tennessee,"Cocke, TN",Cocke County
NC04701,2019,2,1,North Carolina,"Hoke, NC",Raeford
LA03501,2017,1,0,Louisiana,"Natchitoches, LA",Natchitoches
LA06300,2017,2,2,Louisiana,"West Feliciana, LA",West Feliciana County
MO05001,2016,1,1,Missouri,"Jefferson, MO",Crystal City
NC00701,2016,1,2,North Carolina,"Beaufort, NC",Washington
MO00200,2012,1,1,Missouri,"Andrew, MO",Andrew County
OH02200,2014,1,1,Ohio,"Erie, OH",Erie County
OH05101,2013,1,0,Ohio,"Marion, OH",Marion
PA032SP,2016,3,4,Pennsylvania,"Indiana, PA",State Police: Indiana County
